Open,High,Low,Volume,Close
0.8511,1.0906,0.848,116352,1.0105
0.8169,0.8622,0.8,66784.60156,0.8511
0.7788,0.8279,0.7596,121420,0.817
0.8163,0.8413,0.7717,81875.60156,0.7788
0.7474,0.8189,0.7411,58972,0.8162
0.7327,0.753,0.7219,92058.5,0.7474
0.731,0.7389,0.701,63787.30078,0.7327
0.7136,0.7398,0.6952,104550,0.731
0.738,0.745,0.7008,59154.30078,0.7136
0.7242,0.774,0.715,63033.60156,0.738
0.7461,0.7778,0.7042,60842,0.7242
0.7522,0.7591,0.7367,47857.89844,0.746
0.7488,0.7697,0.7115,86281.10156,0.7521
0.7327,0.7665,0.697,50962.80078,0.7488
0.645,0.7549,0.6308,63726.69922,0.7327
0.6234,0.6528,0.6121,97123.60156,0.6451
0.6069,0.6793,0.6048,52867.30078,0.6234
0.6085,0.6118,0.5906,54596.10156,0.6069
0.6092,0.6205,0.5996,37576.60156,0.6085
0.592,0.6101,0.5753,141319,0.6091
0.5718,0.6033,0.5609,82388.5,0.592
0.5284,0.584,0.5193,23967.099609375,0.5719
0.557,0.5699,0.5157,48426.5,0.5284
0.5867,0.5889,0.5533,37303.39844,0.557
0.5822,0.6016,0.571,33871.69922,0.5866
0.5893,0.5977,0.56,26877.19922,0.5821
0.5979,0.6211,0.5874,40900.19922,0.5893
0.6196,0.6269,0.5874,42252.89844,0.5979
0.6193,0.625,0.5851,25458.30078,0.6197
0.6288,0.6426,0.6086,28528.19922,0.6192
0.6363,0.6575,0.6172,29986.5,0.6288
0.6246,0.6449,0.6169,40713,0.6364
0.6369,0.6489,0.612,44247.30078,0.6246
0.6214,0.6457,0.5917,67836.29688,0.6369
0.6521,0.6545,0.6108,30147.19922,0.6215
0.6648,0.674,0.65,75047.20313,0.6522
0.6526,0.68,0.6511,41142.5,0.6648
0.696,0.697,0.6444,65337.80078,0.6526
0.6733,0.7091,0.6655,31335.5,0.696
0.6557,0.6849,0.6433,27106.900390625,0.6732
0.6592,0.6676,0.6329,152764,0.6556
0.7062,0.7064,0.644,49911.80078,0.6591
0.7062,0.7145,0.6477,25761,0.7063
0.6444,0.734,0.6417,23231.69922,0.7063
0.6483,0.6583,0.6238,34457.80078,0.6444
0.6163,0.6523,0.5963,26876.5,0.6484
0.611,0.6329,0.5814,31246.69922,0.6162
0.6731,0.6889,0.6019,29693.80078,0.6111
0.6383,0.6928,0.6163,84303.39844,0.6731
0.5468,0.6655,0.5203,29237,0.6383
0.6068,0.65,0.509,10861.099609375,0.5468
0.7741,0.7803,0.6037,17669.900390625,0.6067
0.7583,0.785,0.6968,17081.30078,0.7741
0.7971,0.8055,0.7557,14933.099609375,0.7582
0.8419,0.845,0.7687,78718.10156,0.7972
0.8319,0.8612,0.8234,21321.5,0.8419
0.8663,0.8733,0.8259,26152.80078,0.832
0.8905,0.9017,0.8551,18051.80078,0.8663
0.8833,0.93,0.8628,45854.60156,0.8906
0.8325,0.8883,0.817,18704.400390625,0.8832
